FID,PublicAddress,ControlNbr,CCN,Precinct,ReportedDate,BeginDate,Time,Offense,Description,UCRCode,EnteredDate,GBSID,Lat,Long,X,Y,Neighborhood,LastChanged,LastUpdateDate
11,0007XX Broadway AV W,3744602,MP 2018 069941,4,2018/03/05 20:45:00,2018/03/05 15:17:59,15:18:00,SHOPLF,Shoplifting,7,2018/03/05 20:43:50,17562,44.99913768,-93.28875577,"-10,384,856.7885","5,621,385.7319",NEAR - NORTH,2018/03/05 22:07:27,2018/03/06 20:00:34
12,0028XX 28 AV S,3744604,MP 2018 070275,3,2018/03/05 20:45:00,2018/03/05 18:59:59,19:00:00,THEFT,Other Theft,7,2018/03/05 20:45:16,17400,44.95107358,-93.23155507,"-10,378,489.2365","5,613,822.3079",LONGFELLOW,2018/03/06 09:27:54,2018/03/06 20:00:34
13,0021XX Lake ST E,3744605,MP 2018 070189,3,2018/03/05 20:50:00,2018/03/05 19:20:00,19:20:00,SHOPLF,Shoplifting,7,2018/03/05 20:49:29,21927,44.94837153,-93.2413201,"-10,379,576.2746","5,613,397.2984",CORCORAN,2018/03/06 04:12:24,2018/03/06 20:00:34
14,0014XX Lake ST W,3744608,MP 2018 998860,5,2018/03/05 21:10:43,2018/03/04 02:00:00,02:00:00,THEFT,Other Theft,7,2018/03/05 21:10:43,16980,44.94836481,-93.29764471,"-10,385,846.3014","5,613,396.2413",LOWRY HILL EAST,2018/03/05 21:10:51,2018/03/06 20:00:34
15,25 ST E / Minnehaha AV S,3744612,MP 2018 070287,3,2018/03/05 21:30:00,2018/03/05 14:29:59,14:30:00,TFMV,Theft From Motr Vehc,7,2018/03/05 21:34:34,,44.95735,-93.2407,"-10,379,506.92","5,614,810.153",SEWARD,2018/03/06 05:33:04,2018/03/06 20:00:34
16,0012XX Lake ST W,3744614,MP 2018 070298,5,2018/03/05 21:59:59,2018/03/05 20:29:59,20:30:00,AUTOTH,Motor Vehicle Theft,8,2018/03/05 21:59:28,17302,44.94836088,-93.29510762,"-10,385,563.8739","5,613,395.6244",CARAG,2018/03/06 11:47:05,2018/03/06 20:00:34
17,0027XX Nicollet AV S,3744617,MP 2018 070081,5,2018/03/05 22:15:00,2018/03/05 17:00:00,17:00:00,TFPER,Theft From Person,7,2018/03/05 22:17:47,16211,44.95283963,-93.27789224,"-10,383,647.466","5,614,100.1039",WHITTIER,2018/03/06 00:46:44,2018/03/06 20:00:34
18,0045XX Hiawatha AV ,3744625,MP 2018 070485,3,2018/03/06 00:35:00,2018/03/05 23:55:00,23:55:00,SHOPLF,Shoplifting,7,2018/03/06 00:34:38,21628,44.92059183,-93.21921931,"-10,377,116.0256","5,609,028.9454",HIAWATHA,2018/03/06 05:34:19,2018/03/06 20:00:34
19,0032XX Russell AV N,3744627,MP 2018 070492,4,2018/03/06 12:49:59,2018/03/06 00:01:00,00:01:00,BURGD,Burglary Of Dwelling,6,2018/03/06 00:50:09,18759,45.01414127,-93.31079374,"-10,387,310.0443","5,623,748.0153",CLEVELAND,2018/03/06 06:52:46,2018/03/06 20:00:34
20,0001XX 13 AV NE,3744628,MP 2018 070344,2,2018/03/06 00:52:00,2018/03/05 21:20:00,21:20:00,TFMV,Theft From Motr Vehc,7,2018/03/06 00:51:35,20974,45.0008935,-93.26690906,"-10,382,424.8243","5,621,662.15",SHERIDAN,2018/03/06 05:15:51,2018/03/06 20:00:34
21,0008XX Lake ST W,3744631,MP 2018 070539,5,2018/03/06 01:17:00,2018/03/06 00:49:59,00:50:00,THEFT,Other Theft,7,2018/03/06 01:17:14,16079,44.9483642,-93.29001302,"-10,384,996.7456","5,613,396.1462",CARAG,2018/03/06 05:00:00,2018/03/06 20:00:34
22,0007XX HENNEPIN AV ,3744641,MP 2018 998859,1,2018/03/06 02:35:30,2018/03/04 01:30:00,01:30:00,THEFT,Other Theft,7,2018/03/06 02:35:30,21654,44.97758226,-93.2753473,"-10,383,364.1645","5,617,992.9622",DOWNTOWN WEST,2018/03/06 02:35:35,2018/03/06 20:00:34
23,0030XX 15 AV S,3744642,MP 2018 070535,3,2018/03/02 15:04:59,2018/02/26 21:59:59,22:00:00,THEFT,Other Theft,7,2018/03/06 02:36:32,22199,44.94745786,-93.25377331,"-10,380,962.5598","5,613,253.5911",POWDERHORN PARK,2018/03/06 05:35:23,2018/03/06 20:00:34
24,0054XX 28 AV S,3744651,MP 2018 070536,3,2018/03/06 03:53:00,2018/03/06 00:45:00,00:45:00,BURGB,Burglary Of Business,6,2018/03/06 03:52:49,13388,44.90442665,-93.23232234,"-10,378,574.6485","5,606,487.946",WENONAH,2018/03/06 05:37:44,2018/03/06 20:00:34
25,0039XX Upton AV N,3744657,MP 2018 070650,4,2018/03/06 05:45:00,2018/03/06 04:30:00,04:30:00,AUTOTH,Motor Vehicle Theft,8,2018/03/06 05:02:29,21899,45.02681188,-93.3147681,"-10,387,752.4679","5,625,743.4564",VICTORY,2018/03/06 14:01:53,2018/03/06 20:00:34
26,0013XX INDUSTRIAL BL ,3744661,MP 2018 998856,2,2018/03/06 08:16:21,2018/03/05 18:00:00,18:00:00,TFMV,Theft From Motr Vehc,7,2018/03/06 08:16:21,25819,45.00228657,-93.21164432,"-10,376,272.7812","5,621,881.4674",MID - CITY INDUSTRIAL,2018/03/06 08:16:27,2018/03/06 20:00:34
27,0026XX Fremont AV S,3744680,MP 2018 998855,5,2018/03/06 09:02:05,2018/03/03 00:00:00,00:00:00,THEFT,Other Theft,7,2018/03/06 09:02:05,17598,44.95464369,-93.29568935,"-10,385,628.632","5,614,383.8871",LOWRY HILL EAST,2018/03/06 09:02:07,2018/03/06 20:00:34
28,0007XX 4 ST N,3744681,MP 2018 998854,1,2018/03/06 09:03:27,2018/03/03 20:29:59,20:30:00,TFMV,Theft From Motr Vehc,7,2018/03/06 09:03:27,16620,44.98720974,-93.28094392,"-10,383,987.178","5,619,508.1465",NORTH LOOP,2018/03/06 09:03:31,2018/03/06 20:00:34
29,0023XX 23 AV S,3744683,MP 2018 070693,3,2018/03/06 09:07:00,2018/03/05 22:30:00,22:30:00,BURGD,Burglary Of Dwelling,6,2018/03/06 09:07:19,22505,44.96005771,-93.23932768,"-10,379,354.479","5,615,235.5798",SEWARD,2018/03/06 10:24:11,2018/03/06 20:00:34
30,0024XX Morgan AV N,3744685,MP 2018 070214,4,2018/03/05 23:00:00,2018/03/05 19:30:00,19:30:00,ARSON,Arson,10,2018/03/06 09:10:17,15199,45.00467597,-93.30443946,"-10,386,602.689","5,622,257.6526",JORDAN,2018/03/06 10:33:23,2018/03/06 20:00:34
31,0015XX 19 ST E,3744686,MP 2018 998853,3,2018/03/06 09:25:55,2018/03/05 21:59:59,22:00:00,TFMV,Theft From Motr Vehc,7,2018/03/06 09:25:55,21462,44.96374585,-93.252808,"-10,380,855.1011","5,615,815.8163",VENTURA VILLAGE,2018/03/06 09:25:59,2018/03/06 20:00:34
32,0002XX Church ST SE,3744690,MP 2018 998850,2,2018/03/06 09:47:07,2018/03/05 16:15:00,16:15:00,THEFT,Other Theft,7,2018/03/06 09:47:07,19438,44.97527795,-93.23386151,"-10,378,745.9876","5,617,630.3452",UNIVERSITY OF MINNESOTA,2018/03/06 09:47:10,2018/03/06 20:00:34
33,0005XX 10 ST S,3744693,MP 2018 070804,1,2018/03/06 10:30:00,2018/03/05 21:59:59,22:00:00,BURGD,Burglary Of Dwelling,6,2018/03/06 10:29:46,17360,44.97081037,-93.26721155,"-10,382,458.4977","5,616,927.3463",ELLIOT PARK,2018/03/06 13:45:26,2018/03/06 20:00:34
34,MINNEHAHA AV  / 54 ST E,3744700,MP 2018 998847,99,2018/03/06 11:07:18,2018/03/02 21:59:59,22:00:00,THEFT,Other Theft,7,2018/03/06 11:07:18,,44.90538,-93.20334,"-10,375,347.85","5,606,637.725",MINNEHAHA,2018/03/06 11:07:23,2018/03/06 20:00:34
35,0060XX Newton AV S,3744701,MP 2018 998846,5,2018/03/06 11:09:57,2018/03/03 21:00:00,21:00:00,TFMV,Theft From Motr Vehc,7,2018/03/06 11:09:57,14476,44.89338755,-93.30611994,"-10,386,789.7591","5,604,753.1243",ARMATAGE,2018/03/06 11:10:02,2018/03/06 20:00:34
36,0048XX Bryant AV N,3744703,MP 2018 070669,4,2018/03/06 11:38:00,2018/03/06 03:59:59,04:00:00,TFMV,Theft From Motr Vehc,7,2018/03/06 11:38:11,10051,45.04300215,-93.29143755,"-10,385,155.3229","5,628,293.8371",LIND - BOHANON,2018/03/06 12:48:47,2018/03/06 20:00:34
37,0004XX HENNEPIN AV ,3744705,MP 2018 998845,1,2018/03/06 11:54:43,2018/03/04 02:00:00,02:00:00,THEFT,Other Theft,7,2018/03/06 11:54:43,16700,44.9800647,-93.27188308,"-10,382,978.5303","5,618,383.6275",DOWNTOWN WEST,2018/03/06 11:54:48,2018/03/06 20:00:34
38,0008XX 11 AV SE,3744706,MP 2018 070808,2,2018/03/06 12:00:00,2018/03/02 23:29:59,23:30:00,CSCR,Crim Sex Cond-rape,3,2018/03/06 11:59:58,17644,44.98656667,-93.23641181,"-10,379,029.8857","5,619,406.9318",MARCY HOLMES,2018/03/06 14:58:00,2018/03/06 20:00:34
39,0022XX Milwaukee AV ,3744709,MP 2018 070836,3,2018/03/06 11:00:00,2018/03/06 02:00:00,02:00:00,BURGD,Burglary Of Dwelling,6,2018/03/06 12:04:07,18103,44.96095298,-93.24003276,"-10,379,432.9686","5,615,376.4258",SEWARD,2018/03/06 14:12:38,2018/03/06 20:00:34
40,0009XX Nicollet Mall  ,3744712,MP 2018 070892,1,2018/03/06 12:17:00,2018/03/06 11:29:00,11:29:00,SHOPLF,Shoplifting,7,2018/03/06 12:17:11,19563,44.97449942,-93.27431687,"-10,383,249.4581","5,617,507.8346",DOWNTOWN WEST,2018/03/06 13:46:59,2018/03/06 20:00:34
41,0029XX HENNEPIN AV ,3744715,MP 2018 998843,5,2018/03/06 12:38:47,2018/03/04 21:30:00,21:30:00,THEFT,Other Theft,7,2018/03/06 12:38:47,17660,44.94881103,-93.29827927,"-10,385,916.9401","5,613,466.4267",LOWRY HILL EAST,2018/03/06 12:38:52,2018/03/06 20:00:34
42,0028XX Fremont AV N,3744718,MP 2018 070855,4,2018/03/06 12:49:59,2018/03/06 10:40:00,10:40:00,AUTOTH,Motor Vehicle Theft,8,2018/03/06 12:50:07,22231,45.00865586,-93.2955763,"-10,385,616.0468","5,622,884.2775",JORDAN,2018/03/06 13:47:50,2018/03/06 20:00:34
43,0013XX Tyler ST NE,3744727,MP 2018 070970,2,2018/03/06 13:50:00,2018/02/11 02:29:59,02:30:00,BURGB,Burglary Of Business,6,2018/03/06 13:49:36,16854,45.00142276,-93.24608029,"-10,380,106.1767","5,621,745.4736",NORTHEAST PARK,2018/03/06 14:53:41,2018/03/06 20:00:34
44,0030XX Ulysses ST NE,3744745,MP 2018 998840,2,2018/03/06 14:53:41,2018/03/04 21:59:59,22:00:00,TFMV,Theft From Motr Vehc,7,2018/03/06 14:53:41,18957,45.02293515,-93.23583386,"-10,378,965.5492","5,625,132.8792",AUDUBON PARK,2018/03/06 14:53:44,2018/03/06 20:00:34
45,0045XX Hiawatha AV ,3744768,MP 2018 071211,3,2018/03/06 18:11:00,2018/03/03 20:00:00,20:00:00,BURGB,Burglary Of Business,6,2018/03/06 18:10:38,21628,44.92059183,-93.21921931,"-10,377,116.0256","5,609,028.9454",HIAWATHA,2018/03/06 19:33:47,2018/03/06 20:00:34
46,0022XX Lyndale AV S,3735037,MP 2018 019737,5,2018/01/19 17:50:00,2018/01/19 16:50:00,16:50:00,ASLT2,Asslt W/dngrs Weapon,5,2018/01/19 17:50:09,16534,44.96002038,-93.28801715,"-10,384,774.5663","5,615,229.7083",LOWRY HILL EAST,2018/02/08 02:37:28,2018/02/08 20:00:32
47,0018XX 14 AV S,3738790,MP 2018 038592,3,2018/02/06 12:14:00,2018/02/06 10:54:59,10:55:00,AUTOTH,Motor Vehicle Theft,8,2018/02/06 12:13:51,21252,44.96454265,-93.25542523,"-10,381,146.4505","5,615,941.178",VENTURA VILLAGE,2018/02/08 04:56:22,2018/02/08 20:00:32
48,0016XX 6 ST S,3738800,MP 2018 038604,1,2018/02/06 13:30:00,2018/02/06 11:48:59,11:49:00,TFPER,Theft From Person,7,2018/02/06 13:02:40,20031,44.96811948,-93.2484969,"-10,380,375.1923","5,616,503.946",CEDAR RIVERSIDE,2018/02/08 11:01:04,2018/02/08 20:00:32
49,0009XX 24 ST E,3738826,MP 2018 038691,3,2018/02/06 15:08:00,2018/02/06 13:30:00,13:30:00,TFPER,Theft From Person,7,2018/02/06 15:07:41,16434,44.95912104,-93.26055709,"-10,381,717.7267","5,615,088.2245",VENTURA VILLAGE,2018/02/07 22:34:35,2018/02/08 20:00:32
50,0005XX 20 AV S,3738827,MP 2018 038725,1,2018/02/06 15:13:00,2018/02/04 04:30:00,04:30:00,BURGD,Burglary Of Dwelling,6,2018/02/06 15:12:42,18092,44.96829991,-93.24407439,"-10,379,882.8801","5,616,532.3357",CEDAR RIVERSIDE,2018/02/08 10:53:27,2018/02/08 20:00:32
51,0018XX Nicollet AV S,3738933,MP 2018 025031,5,2018/02/07 08:47:00,2018/01/16 09:59:59,10:00:00,THEFT,Other Theft,7,2018/02/07 08:46:07,22155,44.96471066,-93.27781232,"-10,383,638.5694","5,615,967.612",STEVENS SQUARE - LORING HEIGHTS,2018/02/08 15:32:06,2018/02/08 20:00:32
52,0007XX 22 AV S,3738992,MP 2018 039499,1,2018/02/07 10:30:00,2018/02/07 09:30:59,09:31:00,TBLDG,Theft From Building,7,2018/02/07 10:32:01,18785,44.96625266,-93.24091022,"-10,379,530.6472","5,616,210.2226",CEDAR RIVERSIDE,2018/02/08 11:02:44,2018/02/08 20:00:32
53,0021XX Plymouth AV N,3739022,MP 2018 039669,4,2018/02/07 13:18:00,2018/02/07 12:30:00,12:30:00,THEFT,Other Theft,7,2018/02/07 13:18:23,17608,44.99150434,-93.3075977,"-10,386,954.263","5,620,184.1177",WILLARD - HAY,2018/02/09 07:48:34,2018/02/09 20:00:40
54,0022XX Riverside AV ,3739031,MP 2018 009687,1,2018/02/07 14:15:00,2018/02/07 09:20:00,09:20:00,THEFT,Other Theft,7,2018/02/07 14:11:34,20043,44.96734047,-93.24049668,"-10,379,484.6114","5,616,381.3757",CEDAR RIVERSIDE,2018/02/08 00:22:16,2018/02/08 20:00:32
55,0031XX Oliver AV N,3739032,MP 2018 039753,4,2018/02/07 14:28:00,2018/02/07 13:30:00,13:30:00,TFMV,Theft From Motr Vehc,7,2018/02/07 14:21:06,19827,45.01233173,-93.30696956,"-10,386,884.3386","5,623,463.0737",JORDAN,2018/02/09 06:12:14,2018/02/09 20:00:40
56,0033XX Hiawatha AV ,3739033,MP 2018 039785,3,2018/02/07 14:29:59,2018/01/05 09:00:00,09:00:00,AUTOTH,Motor Vehicle Theft,8,2018/02/07 14:29:27,21434,44.94124892,-93.23342844,"-10,378,697.779","5,612,277.0677",LONGFELLOW,2018/02/08 05:02:56,2018/02/08 20:00:32
57,0033XX Hiawatha AV ,3739034,MP 2018 039740,3,2018/02/07 14:34:00,2018/01/05 13:25:00,13:25:00,AUTOTH,Motor Vehicle Theft,8,2018/02/07 14:33:42,21434,44.94124892,-93.23342844,"-10,378,697.779","5,612,277.0677",LONGFELLOW,2018/02/08 05:03:24,2018/02/08 20:00:32
58,0035XX Fremont AV N,3739040,MP 2018 039825,4,2018/02/07 15:17:59,2018/02/07 14:55:00,14:55:00,ASLT2,Asslt W/dngrs Weapon,5,2018/02/07 15:18:28,10414,45.01946107,-93.29559254,"-10,385,617.8543","5,624,585.7543",FOLWELL,2018/02/08 05:47:59,2018/02/08 20:00:32
59,0029XX 42 ST E,3739046,MP 2018 039778,3,2018/02/07 15:35:00,2018/02/05 21:59:59,22:00:00,THEFT,Other Theft,7,2018/02/07 15:34:37,11882,44.92688762,-93.23021151,"-10,378,339.6722","5,610,018.7721",STANDISH,2018/02/08 05:10:20,2018/02/08 20:00:32
60,0022XX 24 ST E,3739048,MP 2018 039754,3,2018/02/07 15:30:00,2018/02/07 08:00:00,08:00:00,THEFT,Other Theft,7,2018/02/07 15:40:20,22844,44.95915412,-93.24047849,"-10,379,482.5866","5,615,093.4288",SEWARD,2018/02/08 03:56:13,2018/02/08 20:00:32
61,00001X 4 ST N,3739050,MP 2018 039881,1,2018/02/07 15:58:00,2018/01/30 00:01:00,00:01:00,THEFT,Other Theft,7,2018/02/07 15:57:06,17119,44.98083264,-93.27195951,"-10,382,987.0377","5,618,504.4818",DOWNTOWN WEST,2018/02/07 22:46:56,2018/02/08 20:00:32
62,0011XX Como AV SE,3739058,MP 2018 039920,2,2018/02/07 16:51:59,2018/02/06 21:59:59,22:00:00,AUTOTH,Motor Vehicle Theft,8,2018/02/07 16:49:41,15552,44.98793115,-93.2360749,"-10,378,992.3812","5,619,621.6925",COMO,2018/02/08 06:56:24,2018/02/08 20:00:32
63,0012XX Washington AV S,3739061,MP 2018 039842,1,2018/02/07 16:56:00,2018/02/06 16:05:00,16:05:00,THEFT,Other Theft,7,2018/02/07 16:55:08,19227,44.97447173,-93.25115192,"-10,380,670.7481","5,617,503.4775",DOWNTOWN EAST,2018/02/07 22:45:42,2018/02/08 20:00:32
64,0052XX 38 AV S,3739078,MP 2018 040106,3,2018/02/07 19:40:00,2018/02/05 17:00:00,17:00:00,BURGD,Burglary Of Dwelling,6,2018/02/07 19:43:22,14000,44.90809149,-93.21776287,"-10,376,953.8954","5,607,063.9594",MINNEHAHA,2018/02/08 05:13:19,2018/02/08 20:00:32
65,0027XX Longfellow AV S,3739079,MP 2018 040158,3,2018/02/07 19:44:59,2018/02/07 19:25:59,19:26:00,ROBPAG,Robbery Per Agg,4,2018/02/07 19:44:34,21406,44.95285433,-93.24610344,"-10,380,108.7535","5,614,102.4168",EAST PHILLIPS,2018/02/07 22:25:59,2018/02/08 20:00:32
66,24 ST W / Hennepin AV S,3739088,MP 2018 040178,5,2018/02/07 20:35:00,2018/02/07 19:44:00,19:44:00,AUTOTH,Motor Vehicle Theft,8,2018/02/07 20:28:49,,44.95912,-93.29409,"-10,385,450.31","5,615,088.449",LOWRY HILL EAST,2018/02/08 07:35:25,2018/02/08 20:00:32
67,0013XX Hennepin AV E,3739090,MP 2018 040094,2,2018/02/07 20:39:59,2018/02/07 18:00:00,18:00:00,BURGD,Burglary Of Dwelling,6,2018/02/07 20:39:23,19673,44.99147193,-93.23267618,"-10,378,614.038","5,620,179.016",COMO,2018/02/08 06:56:37,2018/02/08 20:00:32
68,0026XX Franklin AV E,3739095,MP 2018 040024,3,2018/02/07 21:06:00,2018/02/07 12:00:00,12:00:00,THEFT,Other Theft,7,2018/02/07 21:03:13,15161,44.96276256,-93.23378076,"-10,378,736.9991","5,615,661.1174",SEWARD,2018/02/08 05:12:25,2018/02/08 20:00:32
69,Cedar Lake RD S / Penn AV S,3739099,MP 2018 040225,4,2018/02/07 21:19:00,2018/02/07 19:44:59,19:45:00,TFMV,Theft From Motr Vehc,7,2018/02/07 21:18:47,,44.97373,-93.30835,"-10,387,038.47","5,617,386.214",BRYN - MAWR,2018/02/08 06:29:05,2018/02/08 20:00:32
70,0009XX 27 AV NE,3739102,MP 2018 040275,2,2018/02/07 21:30:00,2018/02/07 09:00:00,09:00:00,BURGD,Burglary Of Dwelling,6,2018/02/07 21:29:47,22595,45.01677446,-93.24645122,"-10,380,147.4685","5,624,162.6678",AUDUBON PARK,2018/02/08 11:54:10,2018/02/08 20:00:32
71,0016XX Hillside AV ,3739106,MP 2018 999271,4,2018/02/07 21:45:03,2018/02/07 16:15:00,16:15:00,THEFT,Other Theft,7,2018/02/07 21:45:03,18641,45.00119234,-93.30089701,"-10,386,208.3459","5,621,709.1981",JORDAN,2018/02/07 21:45:06,2018/02/08 20:00:32
72,0031XX 34 AV S,3739111,MP 2018 039919,3,2018/02/07 21:59:59,2018/02/07 08:29:59,08:30:00,BURGD,Burglary Of Dwelling,6,2018/02/07 22:07:52,11832,44.94591033,-93.22293648,"-10,377,529.8193","5,613,010.1903",LONGFELLOW,2018/02/08 09:42:03,2018/02/08 20:00:32
73,0007XX University AV SE,3739117,MP 2018 040226,2,2018/02/07 22:25:00,2018/02/07 20:19:59,20:20:00,DASTR,Domestic Assault/Strangulation,5,2018/02/07 22:23:17,17978,44.98309944,-93.24557297,"-10,380,049.7015","5,618,861.2305",MARCY HOLMES,2018/02/07 23:52:02,2018/02/08 20:00:32
74,00009X Broadway ST NE,3739118,MP 2018 040168,2,2018/02/07 21:00:00,2018/02/07 18:00:00,18:00:00,TFMV,Theft From Motr Vehc,7,2018/02/07 22:26:38,14388,44.9987034,-93.26823369,"-10,382,572.2812","5,621,317.3654",ST. ANTHONY WEST,2018/02/08 06:56:56,2018/02/08 20:00:32
75,0002XX Penn AV N,3739119,MP 2018 040145,4,2018/01/29 13:01:00,2018/01/29 09:59:59,10:00:00,THEFT,Other Theft,7,2018/02/07 22:33:47,15738,44.97938063,-93.3083336,"-10,387,036.1828","5,618,275.9729",HARRISON,2018/02/08 06:28:02,2018/02/08 20:00:32
76,0045XX Hiawatha AV ,3739120,MP 2018 039870,3,2018/02/07 22:30:00,2018/02/07 15:37:59,15:38:00,SHOPLF,Shoplifting,7,2018/02/07 22:33:57,21628,44.92059183,-93.21921931,"-10,377,116.0256","5,609,028.9454",HIAWATHA,2018/02/08 04:18:43,2018/02/08 20:00:32
77,8 ST S / Nicollet Mall  ,3739121,MP 2018 040332,1,2018/02/07 22:37:00,2018/02/07 21:45:00,21:45:00,ASLT2,Asslt W/dngrs Weapon,5,2018/02/07 22:36:39,,44.97592,-93.27306,"-10,383,109.06","5,617,730.617",DOWNTOWN WEST,2018/02/08 14:05:52,2018/02/08 20:00:32
78,0003XX Harrison ST NE,3739122,MP 2018 040291,2,2018/02/07 22:41:00,2018/02/07 18:00:00,18:00:00,TFMV,Theft From Motr Vehc,7,2018/02/07 22:39:38,19985,44.99228307,-93.24730998,"-10,380,243.0652","5,620,306.6947",BELTRAMI,2018/02/08 09:21:37,2018/02/08 20:00:32
79,0002XX Penn AV N,3739127,MP 2018 040147,4,2018/01/29 13:20:00,2018/01/29 12:00:00,12:00:00,THEFT,Other Theft,7,2018/02/07 23:05:23,15738,44.97938063,-93.3083336,"-10,387,036.1828","5,618,275.9729",HARRISON,2018/02/08 06:28:12,2018/02/08 20:00:32
80,0000XX 26 ST E,3739128,MP 2018 040410,5,2018/02/07 23:09:00,2018/02/07 19:54:59,19:55:00,TFMV,Theft From Motr Vehc,7,2018/02/07 23:07:28,16209,44.95553285,-93.27722846,"-10,383,573.5743","5,614,523.7575",WHITTIER,2018/02/08 15:05:10,2018/02/08 20:00:32
81,0024XX Humboldt AV S,3739130,MP 2018 040148,5,2018/01/29 14:06:00,2017/09/29 08:00:00,08:00:00,THEFT,Other Theft,7,2018/02/07 23:11:49,14820,44.95823487,-93.29821188,"-10,385,909.4388","5,614,948.8167",EAST ISLES,2018/02/08 04:06:47,2018/02/08 20:00:32
82,0025XX Chicago AV S,3739137,MP 2018 040490,3,2018/02/08 00:14:59,2018/02/07 23:19:59,23:20:00,AUTOTH,Motor Vehicle Theft,8,2018/02/08 00:10:52,18934,44.95642799,-93.26259001,"-10,381,944.0295","5,614,664.5715",MIDTOWN PHILLIPS,2018/02/08 05:00:23,2018/02/08 20:00:32
83,0026XX HENNEPIN AV ,3739138,MP 2018 999270,5,2018/02/08 00:14:16,2018/02/07 20:00:00,20:00:00,TFMV,Theft From Motr Vehc,7,2018/02/08 00:14:16,17297,44.95510273,-93.29700253,"-10,385,774.814","5,614,456.0975",EAST ISLES,2018/02/08 07:37:08,2018/02/08 20:00:32
84,0009XX Upton AV N,3739149,MP 2018 040582,4,2018/02/08 02:29:59,2018/02/08 01:30:00,01:30:00,BURGD,Burglary Of Dwelling,6,2018/02/08 02:15:06,20922,44.98701936,-93.31465964,"-10,387,740.395","5,619,478.1817",WILLARD - HAY,2018/02/08 06:29:26,2018/02/08 20:00:32
